"Rotation_Phi [deg]","Rotation_Theta [deg]","Freq [MHz]","dB(S(1,1)) []"
0,0,50,-1.61563274225669
0,0,51,-1.75512971439393
0,0,52,-1.91121496107689
0,0,53,-2.08220131881059
0,0,54,-2.26588227250365
0,0,55,-2.46001522714435
0,0,56,-2.66261458471293
0,0,57,-2.87208224454605
0,0,58,-3.08722958858382
0,0,59,-3.30724074460515
0,0,60,-3.53161189685007
0,0,61,-3.76008677299022
0,0,62,-3.99259794837098
0,0,63,-4.22921730637761
0,0,64,-4.47011572450362
0,0,65,-4.71553065624068
0,0,66,-4.96573993353671
0,0,67,-5.22104037471504
0,0,68,-5.48173050869957
0,0,69,-5.74809805648665
0,0,70,-6.0204151810868
0,0,71,-6.2989486711227
0,0,72,-6.58399893784713
0,0,73,-6.87599038843453
0,0,74,-7.17564002917461
0,0,75,-7.48420993880624
0,0,76,-7.80376188901965
0,0,77,-8.13716158509441
0,0,78,-8.48747646866957
0,0,79,-8.85675012460037
0,0,80,-9.24493077910196
0,0,81,-9.64994496850105
0,0,82,-10.0688459288783
0,0,83,-10.4989850646923
0,0,84,-10.9384885530925
0,0,85,-11.3861345535529
0,0,86,-11.8410178395319
0,0,87,-12.3022497101909
0,0,88,-12.7687642434461
0,0,89,-13.2392222176849
0,0,90,-13.7119920331846
0,0,91,-14.1851982272452
0,0,92,-14.6568397335299
0,0,93,-15.1249801252333
0,0,94,-15.5879849839262
0,0,95,-16.044691620037
0,0,96,-16.4941658959265
0,0,97,-16.9341942740475
0,0,98,-17.3568068290896
0,0,99,-17.7388671794349
0,0,100,-18.0320617023017
0,0,101,-18.1871004187374
0,0,102,-18.2751698222196
0,0,103,-18.5044355583026
0,0,104,-18.8287496773445
0,0,105,-19.0231969066055
0,0,106,-19.0418494313324
0,0,107,-18.9470205683244
0,0,108,-18.7987017774215
0,0,109,-18.6328461358552
0,0,110,-18.4680862755315
0,0,111,-18.3134649803699
0,0,112,-18.1729415737545
0,0,113,-18.0474871957094
0,0,114,-17.9358379951966
0,0,115,-17.8346250432748
0,0,116,-17.7384083867104
0,0,117,-17.6400943118296
0,0,118,-17.5321049109469
0,0,119,-17.4082762494293
0,0,120,-17.265822309684
0,0,121,-17.1063191263424
0,0,122,-16.9350887328549
0,0,123,-16.7593683729582
0,0,124,-16.5863064571785
0,0,125,-16.42162960331
0,0,126,-16.2691864655247
0,0,127,-16.1311102387682
0,0,128,-16.0082388336101
0,0,129,-15.9005351934034
0,0,130,-15.8073809965832
0,0,131,-15.7276997249054
0,0,132,-15.659902992463
0,0,133,-15.6016839048417
0,0,134,-15.5497533249225
0,0,135,-15.4997673334188
0,0,136,-15.4468583094672
0,0,137,-15.3870496468646
0,0,138,-15.3190704690639
0,0,139,-15.2452031690336
0,0,140,-15.1702145583293
0,0,141,-15.099157724027
0,0,142,-15.0357019564569
0,0,143,-14.9817376058627
0,0,144,-14.9378645312351
0,0,145,-14.9041344377349
0,0,146,-14.8807414512172
0,0,147,-14.8686857603772
0,0,148,-14.8706148863472
0,0,149,-14.8919456846301
0,0,150,-14.9403000399193
0,0,151,-15.0082538049609
0,0,152,-15.0191161583576
0,0,153,-14.9238636924901
0,0,154,-14.8360917262271
0,0,155,-14.8001730738204
0,0,156,-14.7999529913561
0,0,157,-14.8210053065357
0,0,158,-14.8548919194901
0,0,159,-14.8957100599554
0,0,160,-14.9387913206286
0,0,161,-14.9807267102363
0,0,162,-15.0195454635975
0,0,163,-15.0545639003034
0,0,164,-15.0859728595578
0,0,165,-15.114399344322
0,0,166,-15.1405886935049
0,0,167,-15.1652301135739
0,0,168,-15.1888874489206
0,0,169,-15.2119893541072
0,0,170,-15.234846087536
0,0,171,-15.2576746087769
0,0,172,-15.2806235922619
0,0,173,-15.3037954955924
0,0,174,-15.3272655064845
0,0,175,-15.3510983827504
0,0,176,-15.3753647394724
0,0,177,-15.4001586927995
0,0,178,-15.4256191759191
0,0,179,-15.4519577704779
0,0,180,-15.4794963772634
0,0,181,-15.5087177148429
0,0,182,-15.5403281006753
0,0,183,-15.5753188293271
0,0,184,-15.6149749023909
0,0,185,-15.660692596247
0,0,186,-15.7133239289029
0,0,187,-15.7717281019869
0,0,188,-15.830880941035
0,0,189,-15.8817502331881
0,0,190,-15.9155811798768
0,0,191,-15.9298785862809
0,0,192,-15.9291436006251
0,0,193,-15.920279694726
0,0,194,-15.9086342341714
0,0,195,-15.8970846055239
0,0,196,-15.8867265591406
0,0,197,-15.8777191282849
0,0,198,-15.8698356711592
0,0,199,-15.8627482043111
0,0,200,-15.8561562727157
0,0,201,-15.8498417271277
0,0,202,-15.8436957354457
0,0,203,-15.8377449349257
0,0,204,-15.8321988286118
0,0,205,-15.827548723641
0,0,206,-15.8247651871023
0,0,207,-15.825597018315
0,0,208,-15.8323366675618
0,0,209,-15.8433657455644
0,0,210,-15.8437026220573
0,0,211,-15.8248196353099
0,0,212,-15.802844595346
0,0,213,-15.7872326387672
0,0,214,-15.7781018765174
0,0,215,-15.7742461241675
0,0,216,-15.7750340027462
0,0,217,-15.7803584257629
0,0,218,-15.7904278449139
0,0,219,-15.8056341300627
0,0,220,-15.8264807822806
0,0,221,-15.8535441678989
0,0,222,-15.8874521062303
0,0,223,-15.9288720458152
0,0,224,-15.9785050754732
0,0,225,-16.0370835086817
0,0,226,-16.1053682352977
0,0,227,-16.1841312306901
0,0,228,-16.2740585367598
0,0,229,-16.3752867223404
0,0,230,-16.4855482004575
0,0,231,-16.5977073560269
0,0,232,-16.716657013939
0,0,233,-16.8624624128244
0,0,234,-17.031733982374
0,0,235,-17.2186334564262
0,0,236,-17.4223566781116
0,0,237,-17.6437180340212
0,0,238,-17.8839200217345
0,0,239,-18.1443138384088
0,0,240,-18.4263858053984
0,0,241,-18.7317931643197
0,0,242,-19.0624140946996
0,0,243,-19.4204070350327
0,0,244,-19.8082812987652
0,0,245,-20.2289831458192
0,0,246,-20.6860029494911
0,0,247,-21.1835108645423
0,0,248,-21.7265307310517
0,0,249,-22.3211648360056
0,0,250,-22.9748851043265
0,10,50,-1.63501308115563
0,10,51,-1.74628730922095
0,10,52,-1.89654678754069
0,10,53,-2.07037011287826
0,10,54,-2.25983706824487
0,10,55,-2.46011884228334
0,10,56,-2.66799542659033
0,10,57,-2.88130056544519
0,10,58,-3.09864347796284
0,10,59,-3.3192216380786
0,10,60,-3.54267515489032
0,10,61,-3.76897018932927
0,10,62,-3.99830708517005
0,10,63,-4.23104980662982
0,10,64,-4.4676729909797
0,10,65,-4.70872289250065
0,10,66,-4.95478883034849
0,10,67,-5.20648229339492
0,10,68,-5.46442145174733
0,10,69,-5.72921940386905
0,10,70,-6.00147505101994
0,10,71,-6.28176611888846
0,10,72,-6.57064475132629
0,10,73,-6.86863777007793
0,10,74,-7.17625724959472
0,10,75,-7.49403504549461
0,10,76,-7.82261258773621
0,10,77,-8.16295158239006
0,10,78,-8.51676659301642
0,10,79,-8.88713410203098
0,10,80,-9.27818889376424
0,10,81,-9.69090179281062
0,10,82,-10.1171850469958
0,10,83,-10.5462336066413
0,10,84,-10.9756800812298
0,10,85,-11.4087663221231
0,10,86,-11.8482073528414
0,10,87,-12.2947874072483
0,10,88,-12.7479386911556
0,10,89,-13.2063363800967
0,10,90,-13.6682523192005
0,10,91,-14.131789937838
0,10,92,-14.5951056018467
0,10,93,-15.0566608534748
0,10,94,-15.5154739458098
0,10,95,-15.9712025627943
0,10,96,-16.4236331577895
0,10,97,-16.8707618204585
0,10,98,-17.3042630473454
0,10,99,-17.7004541586222
0,10,100,-17.9955542347757
0,10,101,-18.2225691235583
0,10,102,-19.5841663973383
0,10,103,-19.2845358712183
0,10,104,-19.2188076296444
0,10,105,-19.1297266158192
0,10,106,-19.0053009164473
0,10,107,-18.8572214222983
0,10,108,-18.6977407506031
0,10,109,-18.5361483139982
0,10,110,-18.3790687400458
0,10,111,-18.2312552592199
0,10,112,-18.096108296777
0,10,113,-17.9757883433961
0,10,114,-17.8709185153233
0,10,115,-17.7799247948345
0,10,116,-17.6982319107691
0,10,117,-17.6178880954532
0,10,118,-17.5285226481946
0,10,119,-17.4202045693208
0,10,120,-17.2872961227104
0,10,121,-17.1308707275509
0,10,122,-16.9578840379287
0,10,123,-16.7779134726685
0,10,124,-16.599893589264
0,10,125,-16.4304441695128
0,10,126,-16.2738000985913
0,10,127,-16.1326343789923
0,10,128,-16.0091746879229
0,10,129,-15.9061829959962
0,10,130,-15.8267575096709
0,10,131,-15.770120066033
0,10,132,-15.7232107050674
0,10,133,-15.6650531000457
0,10,134,-15.5897715795634
0,10,135,-15.5079555524779
0,10,136,-15.4296188875991
0,10,137,-15.3587966131804
0,10,138,-15.2960272269214
0,10,139,-15.2406282807056
0,10,140,-15.1916640226712
0,10,141,-15.1482468032001
0,10,142,-15.1095970274992
0,10,143,-15.0750293505483
0,10,144,-15.0439206123597
0,10,145,-15.0156754618506
0,10,146,-14.9896932842263
0,10,147,-14.9653377219169
0,10,148,-14.9419130688994
0,10,149,-14.9186612301048
0,10,150,-14.8948139506389
0,10,151,-14.869774683075
0,10,152,-14.8435570724693
0,10,153,-14.8175991041944
0,10,154,-14.7957629220231
0,10,155,-14.7844548959026
0,10,156,-14.7901892748708
0,10,157,-14.8151486188044
0,10,158,-14.8552534957418
0,10,159,-14.9032451407885
0,10,160,-14.9529574611047
0,10,161,-15.0009825983879
0,10,162,-15.0461241023945
0,10,163,-15.0883566849478
0,10,164,-15.128098983122
0,10,165,-15.1658512647582
0,10,166,-15.2020518338196
0,10,167,-15.2370335450436
0,10,168,-15.2710169401044
0,10,169,-15.3041111215872
0,10,170,-15.3363089443499
0,10,171,-15.3674665839812
0,10,172,-15.3972516813023
0,10,173,-15.4250244625713
0,10,174,-15.4495651332624
0,10,175,-15.4684395959675
0,10,176,-15.4766136231172
0,10,177,-15.4648102049063
0,10,178,-15.4291183305981
0,10,179,-15.4180959716192
0,10,180,-15.4791762791593
0,10,181,-15.5558676297358
0,10,182,-15.6174084460237
0,10,183,-15.6663630853724
0,10,184,-15.70797508318
0,10,185,-15.7451655139628
0,10,186,-15.7792230735986
0,10,187,-15.8105901230938
0,10,188,-15.8393094658008
0,10,189,-15.8652547029131
0,10,190,-15.8882452006988
0,10,191,-15.9081024572011
0,10,192,-15.9246782570051
0,10,193,-15.9378703240735
0,10,194,-15.9476330585394
0,10,195,-15.9539865354893
0,10,196,-15.9570246232924
0,10,197,-15.9569218946376
0,10,198,-15.9539384251896
0,10,199,-15.9484213324267
0,10,200,-15.9408018802701
0,10,201,-15.9315871210074
0,10,202,-15.9213453552711
0,10,203,-15.910685159433
0,10,204,-15.900228341928
0,10,205,-15.8905779076904
0,10,206,-15.8822828668947
0,10,207,-15.8758024240647
0,10,208,-15.8714726021902
0,10,209,-15.8694785573454
0,10,210,-15.8698356363578
0,10,211,-15.8723818230596
0,10,212,-15.8767849300611
0,10,213,-15.8825748993715
0,10,214,-15.8892409709329
0,10,215,-15.8965161225579
0,10,216,-15.9050513924498
0,10,217,-15.9171355067829
0,10,218,-15.9354192448267
0,10,219,-15.9597921460107
0,10,220,-15.9881838449375
0,10,221,-16.0197756398495
0,10,222,-16.0554072554259
0,10,223,-16.0966074427994
0,10,224,-16.1449991097398
0,10,225,-16.2020931172937
0,10,226,-16.2692286803041
0,10,227,-16.3475575578989
0,10,228,-16.4380447242134
0,10,229,-16.5414790880944
0,10,230,-16.6584906709348
0,10,231,-16.7895692190787
