"Rotation_Phi [deg]","Rotation_Theta [deg]","Freq [MHz]","dB(S(2,2)) []"
0,0,50,-0.000277509592628574
0,0,51,-0.000300165149535574
0,0,52,-0.000324435977312203
0,0,53,-0.000350379064854845
0,0,54,-0.000378049441068797
0,0,55,-0.000407501704673171
0,0,56,-0.000438791785492451
0,0,57,-0.000471978350751148
0,0,58,-0.000507122847888551
0,0,59,-0.00054428646771138
0,0,60,-0.000583521114612477
0,0,61,-0.000624850349633411
0,0,62,-0.00066823086769223
0,0,63,-0.000713508080185287
0,0,64,-0.000760378845518688
0,0,65,-0.000808475143321658
0,0,66,-0.000857661191451079
0,0,67,-0.000908385520787455
0,0,68,-0.000961607767992157
0,0,69,-0.00101825259406007
0,0,70,-0.00107881834748454
0,0,71,-0.00114343148784314
0,0,72,-0.0012120677113216
0,0,73,-0.00128470084203219
0,0,74,-0.00136135343602868
0,0,75,-0.00144210791758864
0,0,76,-0.00152709633254083
0,0,77,-0.00161649127886373
0,0,78,-0.00171050138771101
0,0,79,-0.00180937103524885
0,0,80,-0.00191338544977799
0,0,81,-0.00202288382048325
0,0,82,-0.0021382869329528
0,0,83,-0.00226015708046005
0,0,84,-0.0023893424639445
0,0,85,-0.00252738734736464
0,0,86,-0.00267803043455104
0,0,87,-0.00285578483977141
0,0,88,-0.00327803135004571
0,0,89,-0.00296939581174955
0,0,90,-0.00320829863639092
0,0,91,-0.00340432749159422
0,0,92,-0.00359882473032239
0,0,93,-0.00379866275513588
0,0,94,-0.00400608954698937
0,0,95,-0.00422205180404826
0,0,96,-0.00444688153029837
0,0,97,-0.0046804059279526
0,0,98,-0.0049218173894098
0,0,99,-0.00516927470274538
0,0,100,-0.00541899152929801
0,0,101,-0.00566321025513931
0,0,102,-0.0058859141982556
0,0,103,-0.0060625970309418
0,0,104,-0.00628582557613009
0,0,105,-0.00697780488146011
0,0,106,-0.00759995349710294
0,0,107,-0.00802083101881484
0,0,108,-0.00840062587652007
0,0,109,-0.00878129430446129
0,0,110,-0.0091714781473794
0,0,111,-0.0095728115344811
0,0,112,-0.00998541459537433
0,0,113,-0.0104091550348081
0,0,114,-0.0108439695523754
0,0,115,-0.0112899453782309
0,0,116,-0.0117473378411943
0,0,117,-0.0122165755163459
0,0,118,-0.0126982725078966
0,0,119,-0.0131932604516503
0,0,120,-0.0137026537228512
0,0,121,-0.014227965520368
0,0,122,-0.0147712973564155
0,0,123,-0.0153356240899914
0,0,124,-0.0159251768858355
0,0,125,-0.0165458276477406
0,0,126,-0.0172052183548843
0,0,127,-0.0179119045990545
0,0,128,-0.0186725995157578
0,0,129,-0.0194872807712221
0,0,130,-0.0203448581464781
0,0,131,-0.0212248240717038
0,0,132,-0.0221065257787828
0,0,133,-0.0229788771101778
0,0,134,-0.023842667432783
0,0,135,-0.0247063851093176
0,0,136,-0.0255812461359593
0,0,137,-0.0264786070050388
0,0,138,-0.0274096824956822
