"Rotation_Phi [deg]","Rotation_Theta [deg]","Freq [MHz]","dB(S(2,1)) []"
0,0,50,-109.61459482525
0,0,51,-110.060556180946
0,0,52,-110.101428302654
0,0,53,-109.642407722335
0,0,54,-108.697626314435
0,0,55,-107.359398944053
0,0,56,-105.71293241271
0,0,57,-103.770361868294
0,0,58,-101.419782393133
0,0,59,-98.2956125853304
0,0,60,-93.1757010820878
0,0,61,-83.2108119227424
0,0,62,-96.2532036995246
0,0,63,-105.066166087449
0,0,64,-113.045176991988
0,0,65,-112.461654365915
0,0,66,-107.839657292059
0,0,67,-104.454491018273
0,0,68,-101.673327776497
0,0,69,-99.0443202046887
0,0,70,-96.2573956311906
0,0,71,-93.0788436966133
0,0,72,-90.0641768512263
0,0,73,-90.8777886827881
0,0,74,-95.225215746999
0,0,75,-99.7817845995826
0,0,76,-104.244373113118
0,0,77,-108.390784572387
0,0,78,-109.548514112228
0,0,79,-106.914060930225
0,0,80,-103.741788275112
0,0,81,-100.817173172341
0,0,82,-97.9589911266453
0,0,83,-94.8497299547948
0,0,84,-91.114417124873
0,0,85,-87.5098574601828
0,0,86,-89.9323483321652
0,0,87,-95.4634438329414
0,0,88,-100.752305898893
0,0,89,-106.062501373979
0,0,90,-108.995211401313
0,0,91,-106.030090509271
0,0,92,-102.249517979219
0,0,93,-98.9381048311921
0,0,94,-95.7502671035603
0,0,95,-92.2428125554727
0,0,96,-87.9345140620334
0,0,97,-84.3657027954392
0,0,98,-87.9543969797944
0,0,99,-92.9972258707731
0,0,100,-97.3388432033057
0,0,101,-101.600060334829
0,0,102,-106.699033764873
0,0,103,-114.777140297242
0,0,104,-115.032386886339
0,0,105,-106.972730608905
0,0,106,-101.790123683394
0,0,107,-97.0995223720343
0,0,108,-91.586235558438
0,0,109,-88.3251712174855
0,0,110,-94.4515498082109
0,0,111,-100.280778303578
0,0,112,-105.786778183629
0,0,113,-112.760590511769
0,0,114,-130.351151765835
0,0,115,-116.631225787082
0,0,116,-110.642042443412
0,0,117,-107.306317918974
0,0,118,-104.899711053121
0,0,119,-102.884567012942
0,0,120,-100.969541540072
0,0,121,-98.8726303105153
0,0,122,-96.076720489075
0,0,123,-90.7788268897161
0,0,124,-84.3799786716541
0,0,125,-102.288922572388
0,0,126,-127.60692707439
0,0,127,-111.338893453996
0,0,128,-106.762749540069
0,0,129,-104.530483537191
0,0,130,-103.104273406881
0,0,131,-102.070955811848
0,0,132,-101.267267944893
0,0,133,-100.615013974817
0,0,134,-100.072276703166
0,0,135,-99.6151363530581
0,0,136,-99.2297135010256
0,0,137,-98.9082555262045
0,0,138,-98.6467242933092
0,0,139,-98.4420640636485
0,0,140,-98.2853429344606
0,0,141,-98.1333752201435
0,0,142,-97.7279123093695
0,0,143,-94.1741235872292
0,0,144,-93.9376330384466
0,0,145,-98.9471449943948
0,0,146,-100.816196755614
0,0,147,-103.004746710778
0,0,148,-105.981784377482
0,0,149,-106.451103299524
0,0,150,-101.295119961997
0,0,151,-96.2549848664333
0,0,152,-92.2732192751729
0,0,153,-89.1723196390185
0,0,154,-86.9141363203995
0,0,155,-85.5548440994733
